num_poliza,nombre_producto,riesgo,sexo,moneda,fecha nacimiento,fecha inicio,fecha fin,gastos_adm,monto prima,suma_asegurada
c-02010294005530033088,producto02,Vida grupo particular,F,PEN,1968-03-13,2021-06-30,2027-07-05,0.1,45.0,1850.0
c-02010294759730033092,producto02,Vida grupo particular,F,PEN,1972-11-06,2021-06-30,2027-07-16,0.1,54.0,1250.0
c-02010296035750033080,producto02,Vida grupo particular,F,PEN,1975-12-14,2021-06-28,2025-07-03,0.1,39.0,950.0
c-02010298499230033083,producto02,Vida grupo particular,F,PEN,1966-05-16,2021-06-28,2025-07-02,0.1,42.0,2000.0
c-02010300995310033093,producto02,Vida grupo particular,F,PEN,1980-02-11,2021-06-30,2027-07-27,0.1,21.0,950.0
c-02010302754070033084,producto02,Vida grupo particular,F,PEN,1975-01-19,2021-06-28,2027-07-03,0.1,2.0,365.0
c-02010304896160033083,producto02,Vida grupo particular,F,PEN,1974-10-19,2021-06-28,2026-07-03,0.1,41.0,1050.0
c-02010309093510033081,producto02,Vida grupo particular,F,PEN,1957-09-28,2021-06-28,2027-07-05,0.1,58.0,1350.0
c-02010314845300033084,producto02,Vida grupo particular,F,PEN,1953-02-07,2021-06-28,2027-07-02,0.1,46.0,960.0
c-02010315514180033094,producto02,Vida grupo particular,F,PEN,1963-01-30,2021-06-30,2025-07-04,0.1,137.0,2800.0
c-02010317733510033088,producto 03,Vida grupo particular,F,PEN,1949-01-17,2027-06-30,2025-07-04,0.1,92.0,1185.0
c-02010318253060033085,producto02,Vida grupo particular,F,PEN,1961-03-31,2021-06-28,2026-07-27,0.1,137.0,2800.0
c-02010319961710033089,producto02,Vida grupo particular,F,PEN,1965-05-05,2021-06-30,2026-07-09,0.1,59.0,1000.0
c-02010321892210033089,producto02,Vida grupo particular,F,PEN,1946-11-09,2021-06-30,2026-07-04,0.1,159.0,1850.0
c-02010322723630033085,producto02,Vida grupo particular,F,PEN,1971-01-19,2021-06-28,2026-07-02,0.1,97.0,1700.0
c-02010324334630033084,producto02,Vida grupo particular,F,PEN,1965-04-19,2021-06-28,2027-07-02,0.1,81.0,3000.0
c-02010325381710033086,producto02,Vida grupo particular,F,PEN,1941-01-21,2021-06-28,2025-07-16,0.1,26.0,900.0
c-02010325586260033086,producto02,Vida grupo particular,F,PEN,1983-11-20,2021-06-28,2027-07-02,0.1,93.0,2500.0
c-02010332561710033089,producto02,Vida grupo particular,F,PEN,1966-12-08,2021-06-30,2026-07-04,0.1,11.0,1850.0
c-02010332867800033091,producto02,Vida grupo particular,F,PEN,1962-09-19,2021-06-30,2027-07-05,0.1,126.0,1400.0
c-02010334208800033081,producto02,Vida grupo particular,F,PEN,1965-10-15,2021-06-28,2026-07-02,0.1,8.0,1000.0
c-02010337475800033088,producto02,Vida grupo particular,F,PEN,1953-09-28,2021-06-30,2026-07-30,0.1,38.0,1890.0
c-02010337936820033090,producto02,Vida grupo particular,F,PEN,1944-06-18,2021-06-30,2026-07-14,0.1,31.0,700.0
